id,type,text1,text2,text3,text4,notes
,,,,,,
#SHIP WEAPONS,,,,,,
rebelrats_equalizer_l,WEAPON,"The Equalizer's ponderous shots can shatter even the thickest armor plates. Its origins are as old as the Krysan Federal Monarchy, with it seeing first use in the defence of Magawa from loyalist elements.",,,,
rebelrats_doldrums_l,WEAPON,The Doldrums-Pattern Railgun is one of the most capable weapons that can be found in the Krysan Navy's arsenal. The gun was initially built for orbital defence installations but it was later mounted on Krysan warships as needed by the new Mobile Defence Doctrine.,"	""Compensating for terrain flux, releasing flux manifolds."" ~ Veronica Witherfield during the Doldrums weapons test",,,
rebelrats_drummer_l,WEAPON,The Drummer is an offshoot development of the Doldrums-Pattern railgun family. Electrothermal-chemical firing systems and massive gauss coils accelerate inert rods to devastating speeds.,,,,
rebelrats_tripubus_l,WEAPON,"Unimaginative, but effective, the Tripubus is the Siege Harquebus' bigger brother. Despite sporting smaller shells than the Equalizer, the Tripubus has a heavier throw weight and bigger potential damage, making it reliable against all but the thickest armor plates.",,,,
rebelrats_goedendag_l,WEAPON,"Buried behind the layers of stealth composites is a complex series of carefully engineered superconductors, capacitors, and extensive cooling systems snaking around a set of magazines connected to the ship’s internal ammo forges.","	""They said to never fight fair, and I took it to heart."" ~ Walter Grumman, Director of Intelligience",,,
rebelrats_mangonel_l,WEAPON,"At its core, the Mangonel is a reverse engineered TPC from a wrecked Onslaught. The Three Brothers Corporation magnified the damage beyond what the original TPC was designed for by increasing throughput energy and installing larger heatsinks. Despite its performance, the Mangonel has seen limited service in the Krysan Fleet due to its costly flux requirements and tendency to overheat.","	""Mason, look at this, the numbers! It is a miracle our equipment hasn't been slagged."" ~ Unnamed scientist during Project Icarus",,,
rebelrats_nezulana_l,WEAPON,"A railgun designed to break capital-grade shields. Following the success of the Drummer, the Nezulana utilizes a scaled-up version of the same electrothermal-chemical system to hurl saboted hyperdense penetrating rods at enemy shields.",,,,
rebelrats_babydoldrumspine_l,WEAPON,Advancements in Krysan technology has allowed designers to fit what is effectively a downsized Doldrums Railgun into the frame of a frigate.,"	""They said it couldn't be done, but they forgot to loosen a few screws in their head!"" ~ Clementina Witherfield, Lead Test Pilot",,,
rebelrats_kingmaker_l,WEAPON,"Easily the largest slugthrower the Federal Navy can bring to bear, the Kingmaker takes lessons learnt from the creation of the Doldrums and iteratively improves upon the design.","	""Express delivery to high heavens coming right up!"" ~ Cenry Arbalest, Gunnery Officer on KFS Midnight Fury",,,
rebelrats_salvo_autoloader,WEAPON,"Initially a testbed for Porcellus' missile tubes, the design is now used in many of the Federal Navy's capital ships as a finisher weapon with its unparalleled reliability.",,,,
,,,,,,
rebelrats_siegeharq_m,WEAPON,Rebel Rat engineers fashioned a barrel extension and created an AM-energized warhead to modernize antiquated artillery pieces found in Magawa's vast arsenal after the Penance War.,,,,
rebelrats_crossbow_m,WEAPON,The Crossbow is designed based on existing static defense emplacements. They are loaded with standard anti-shield rounds and fired them with an electrothermal-chemical breech.,,,,
rebelrats_falcon_m,WEAPON,Falcon missiles carry a shrapnel warhead that's been designed to shred through shields and exposed hulls.,,,,
rebelrats_hwacha_m,WEAPON,"Created from the Land Mattress Weapons Program, the Hwacha MLRS is simple in concept. The weapon fires mass amounts of Hwacha missiles to saturate an enemy's point defense grid, acting as decoys for larger, more potent, torpedos to hit the enemy.",,,,
rebelrats_custodian_m,WEAPON,The Custodian brings the much needed capability to bring down multiple targets with a single shot. Its built-in autoloader ensures that the gun is quickly fed flak shells during battle.,,,,
rebelrats_muridae_m,WEAPON,"Created by The Three Brothers Corporation and leased to Rebel Rat Industries, the launcher fires hyper-charged plasma bolts that melt through armour and hull. However, its downside is its relatively high flux requirements and its tendency to overheat that limits its capabilities.",,,,
rebelrats_arratoi_m,WEAPON,These are powerful railguns that fire standard issue anti-shield rounds. It was developed for the Rattus Modernization Project to augment the firepower of Rattus destroyers against increasingly hardy spacecraft shields.,,,,
rebelrats_petard_m,WEAPON,"Using laser activated nuclear pellets in a reinforced chamber, the Petard is a terrifying weapon to be struck by. Barrel rectifiers would guide the released energy into a concentrated beam and produce horrific results once hull is struck, working similar to what's found in Krysan pest control equipment.",,,,
rebelrats_braggador_m,WEAPON,"Created to bridge the gap between long ranged flak and smaller short ranged PD, the Braggador’s quad guns can easily shoot down enemy torpedoes or blunt incoming enemy bombing runs.",,,,
rebelrats_rattenjager_m,WEAPON,The Rattenjager utilizes advanced algorithms and a smart-fuze system to intercept fighters and missiles. An integrated ammo feeder in the turret mount allows the weapon to be constantly fed with new missiles during battle. ,,,,
rebelrats_rattenjager_array_m,WEAPON,A built-in array of Snapper APS for long-range hardkill interceptions,,,,
rebelrats_petardlauncher_m,WEAPON,"Seeing that Petards already came in ready-to-use canisters, Krysans only had to mount thrusters and a rudimentary guidance system to make a simple, but effective, directed energy missile",,,,
rebelrats_huntsman_salvo,WEAPON,Triple rack for Huntsman Torpedos,,,,
rebelrats_gyrolauncher_m,WEAPON,"The Sorex's Gyrojet Launcher is an example of an old type of weapon making a resurgence in the Krysan Navy arsenal as miniaturization of technology outpaced weapons development. The utilization of gyrojets means that the ship can forgo the need of a complicated recoil management system and focus on having a larger payload size. A basic beam riding system keeps the rocket relatively on target, but could never keep up with fast moving targets.",,,,
,,,,,,
#MUS HUNTSMAN AUTOLOADER,,,,,,
rebelrats_huntsmanx2_m,WEAPON,These torpedo tubes serve as the Mus' main anti-ship weapon to allow the Mus to punch above its weight class. The tubes utilizes an autoloader derived from the Rattus that ensures a quick rate of fire.,,,,
,,,,,,
rebelrats_huntsman_s,WEAPON,"Ubiquitous on Krysan Navy ships, the Huntsman is a guided torpedo designed similarly to the Persean Sector's Harpoons. The Huntsman's AM-catalysed plasma warhead allow it to punch through contemporary armor plates.",,,,
rebelrats_hwacha_s,WEAPON,"The Hwacha SRM takes inspiration from the Swarmer SRM, dutifully fulfilling atmospheric and non-atmospheric anti-fighter craft roles with high agility. ",,,,
rebelrats_ranger,WEAPON,"Developed from a successful SPAAG design, the Ranger can quickly destroy any incoming targets with accurate bursts of fire.",,,,
rebelrats_fowler,WEAPON,"Created from the huge surplus of low caliber cannons after the Penance War, the Fowler is an amalgamation of 8 low caliber barrels strapped together to fire a wall of bullets, achieving accuracy by volume of fire.",,,,
rebelrats_culverin,WEAPON,"A simple weapon, the Culverin is the standard issue high-explosive light anti-ship weapon for the Krysan Navy. Its two internal magazines let it fire HE shells in rapid bursts.",,,,
rebelrats_longbow,WEAPON,"The Longbow is the standard issue light anti-shield weapon for the Krysan Navy. It fires small inert rounds that are relatively effective against enemy shields, especially against frigates that have a smaller flux capacity.",,,,
rebelrats_huntsmanx2,WEAPON,Dual rack for the Huntsman Torpedo,,,,
rebelrats_hawker,WEAPON,The Hawker is a pirate's favorite. It utilizes time-fuzed canister shells to quickly bring down incoming groups of missiles without the need of complex guidance systems,,,,
rebelrats_pyroclast,WEAPON,The Pyroclast is the Federal Navy's answer to the Persean Sector's heavy torpedoes. It uses a hypercharged AM-shaped charge warhead that has armour penetration values measured in kilometers to allow it to break through heavy ship armor.,,,,
rebelrats_rattus_torp,WEAPON,A missile autoloader that has been fitted into the ship's center weapons module to quickly reload Huntsman torpedoes. ,,,,
rebelrats_ashford,WEAPON,The Ashford is comparable to Persean Sector PD lasers with its signature variable lense that allows it to be effective at all ranges. ,,,,
rebelrats_poacher_s,WEAPON,"The Poacher was an anti-ship weapon that was handed PD duties, favoring accuracy by volume like old CIWS designs. The turret's APIT shells coupled with an astounding rate of fire allows it to shred through frigate-grade armor plating quickly when enmassed.",,,,
rebelrats_poubelle,WEAPON,"Less of a missile and more of a flying IED that has been cobbled together from civilian components, the Poubelle is a credible threat as the lack of a complex thruster system has left room to stuff a more payload to compensate for the low-grade mining explosives.",,,,
rebelrats_chaff,WEAPON,Fires a canister full of hyper-spectral decoys to foil incoming enemy missiles.,,,,
,,,,,,
#FIGHTER WEAPONS,,,,,,
rebelrats_huntsman_f,WEAPON,A fighter-mounted version of the Huntsman Torpedo stowed under the fuselage. Weight restrictions has led to downsizing the warhead to the minimum size.,,,,
rebelrats_ranger_f,WEAPON,"A stripped-down version of the Ranger, the cannon has a decreased fire rate for better heat management and less vibrations for the fighter's chassis.",,,,
rebelrats_hwacha_f,WEAPON,"Modified for fighter use, Hwachas have proven to be effective against fighters and now sees mass use with Krysan strike craft.",,,,
rebelrats_guardsman_f,WEAPON,Guardsman-Pattern turrets have their roots in old Krysan naval ship armaments as CIWS installations. They are the mainstay armaments of Hippo Skiffs and bombers due to their ubiquity and ability to function with minimal maintenance.,,,,
rebelrats_vaybchek,WEAPON,"Overcharged plasma mining tools, the Vaybchek purposefully overloads its mining cartridges to produce a higher output. This unsafe practice commonly led to premature breech explosions when done wrong, often injuring the crew.",,,,
rebelrats_pyroclast_f,WEAPON,"Removing the complex thruster system and fitted with a solid rocket motor, this version of the Pyroclast is meant to be fitted into the Olympian's magnetic bomb launcher.",,,,
rebelrats_felis,WEAPON,Built-in PD laser created for the Patron corvette. Extremely effective against fighters and missiles despite its high flux costs.,,,,
rebelrats_ashford_f,WEAPON,A tuned down Ashford for fighter use.,,,,
rebelrats_chaingun_f,WEAPON,Fires armor piercing incendiary rounds specialized for shredding thinly armored spacecraft.,,,,
rebelrats_falcon_f,WEAPON,A wing mounting bracket for a Falcon missile.,,,,
rebelrats_tephra_f,WEAPON,Uses an overclocked fusion torch to accelerate a long-rod penetrator to ludicrous speeds.,,,,
,,,,,,
#FIGHTERS,,,,,,
rebelrats_sultan,SHIP,"The Sultan is the Krysan Navy's premier fighter. It was built and designed by Rebel Rats to operate both in atmosphere and space, acting as a multi-role SSTO fighter. Its large arsenal allows it deal with most enemies in a battle space, especially with its underslung Huntsman torpedo to help it hunt larger spacecraft.

Will return to carrier once missiles are expended.",,,,
rebelrats_proctor,SHIP,"More engine than fighter, the Proctor is built to counter the thick PD grids in the Persean Sector. Its armaments allow it to hunt frigates, but quickly falters against concentrated enemy PD fire from a lack of shields despite extensive armor around crucial internal systems.",,,,
rebelrats_hippo,SHIP,"The Hippo is the standard skiff of Krysan Federal Navy. They allow Krysan ships to insert a platoon of marines into planetary battlespace or initiate boarding action against enemy ships and stations with breaching charges. Outside of dropship duties, the skiffs can act as impromptu PD boats to screen its mothership with its Guardsman turrets.",,,,
rebelrats_overseer,SHIP,"A light interceptor of the Krysan Federal Navy, the Overseer is a hardy fighter created by Arms & Armor. The craft comes equipped with a Hwacha missile rack and a pair of Ranger autocannons, making a wing of Overseers a threat to enemy shields.

Will return to its carrier once missiles are expended.",,,,
rebelrats_ministro,SHIP,"The Ministro is an unmanned interceptor designed by Rebel Rat Industries as a proposal to Krysan Navy officials to reduce pilot losses. It quickly found success with the advent of increasingly advanced drone control systems that allows finer control with unmanned systems.

Will return to carrier once missiles are expended.",,,,
rebelrats_patron_f,SHIP,"Cleverly set up microforges have allowed Federal ships to stuff an entire corvette into a hangar bay. Unfortunately, this means that only one Patron can be deployed per hangar bay with reduced capabilities.",,,,
rebelrats_daekon,SHIP,"A fast assault fighter built to break the shields of the enemy spacecraft with falcon missiles and shred armor plates with assault chainguns.

Will not return to carrier once missiles are expended.",,,,
rebelrats_dustero,SHIP,"When a group of Belters found the Talon to be lacking, the Dustero was their answer. However, it is arguable if the Dustero is any more effective than its Persean counterpart. Despite its firepower, the Dustero lacks shields, missiles, and armor that lends it very little survivability during battles.",,,,
,,,,,,
#BOMBERS,,,,,,
rebelrats_olympian,SHIP,"Despite its shambolic origins of being created from scavenged remains of Piranha bombers, the Olympian today is a capable bomber that dutifully does its job with enough armor and PD coverage to last it through bombing runs. A recurring joke among Olympian pilots is that the onboard warhead contains a Red Bombardier Rat as its payload.",,,,"""What kind of barbarians would ever use an animal as its guidance system? That's preposterous!"""
rebelrats_bluster,SHIP,The Bluster has its origins from juryrigged shuttlecraft in mining fleets who looked for a temporary solution to the growing pirate problem. A salvaged guardsman turret sits on top of the Bluster's engine block to serve as all around protection against enemy fightercraft.,,,,
rebelrats_conductor_bomber,SHIP,The Conductor is made to extend the anti-shield striking range of Federal Navy carriers. Persean Sector shields proved to be hardier than the then-current Krysan shield generators.,,,,
,,,,,,
#COMBAT SHIPS ,,,,,,
